rank,room,p,d
1,20C,Stinson,Buffay
2,18D,Heffernan,Jordan
3,20D,Donaghy,Tribbiani
4,21D,Parcell,Scherbatsky
5,18B,Geller,Seinfeld
6,20A,Black,Gunther
7,21C,Eriksen,Jefferson
8,18A,Newman,Benes
9,18C,Truman,Costanza
10,15D,Mertz,McFarland
