rank,room,p,d
1,A315,Conroy,Newton
2,A410,Nelson,Tucker
3,A404,Blomberg,Baldwin
4,A408,Seacrest,Austin
5,A402,King Jr,Boykin
6,A412a,Mitchell,Acres
7,A401,Pearman,Ordway
8,A406,Pardue,West
