rank,room,p,d
1,A301,McCollum,Lee
2,A303,Riggs,McClain
3,A305,Moretz,Benjamin
4,A310,Beckham,Helms
5,A311,Massey,Rowland
6,A302,Bentz,Berry
7,A304,Kelley,Thompson
8,A313,Reed,Hill
