rank,p,d
1,West,Baldwin
2,Tucker,Acres
3,Seacrest,Mitchell
4,Pearman,King Jr
5,Pardue,Hill2
6,Ordway,Conroy
7,Newton,Boykin
8,Nelson,Blomberg
