rank,p,d
1,Tucker,Conroy
2,Baldwin,Nelson
3,Newton,Blomberg
4,Austin,King Jr
5,Acres,Seacrest
6,Boykin,Mitchell
7,Ordway,Pardue
8,West,Pearman
