rank,p,d
1,Conroy,Newton
2,Nelson,Tucker
3,Blomberg,Baldwin
4,Seacrest,Austin
5,King Jr,Boykin
6,Mitchell,Acres
7,Pearman,Ordway
8,Pardue,West
