rank,room,p,d
1,11A,Channing,Diaz
2,11D,Bing,Santiago
3,11B,Mosby,Janice
4,15A,Jeffords,Adler
5,14B,Kramer,Sheffield
6,9B,Peralta,Green
7,14A,Maroney,Fine
8,12A,Lemon,Buchman
9,14D,Walker,Hornberger
10,15C,Aldrin,Ricardo
