rank,room,p,d
1,18B,Buffay,Heffernan
2,18A,Tribbiani,Stinson
3,21D,Jordan,Donaghy
4,18C,Seinfeld,Parcell
5,20D,Scherbatsky,Geller
6,21C,Jefferson,Truman
7,20A,Costanza,Black
8,15D,McFarland,Newman
9,20C,Gunther,Eriksen
10,18D,Benes,Mertz
