rank,room,p,d
1,15 F,Florence,Ida
2,17 1,Grace,Lady Bird
3,15 D,Dolley,Julia
4,17 3,Abigail,Mary Todd
5,17 2,Pat,Bess
6,15 E,Mamie,Elizabeth
7,15 G,Laura,Jackie
