rank,room,p,d
1,A315,West,Baldwin
2,A401,Tucker,Acres
3,A402,Seacrest,Hill2
4,A404,Pearman,Mitchell
5,A406,Pardue,King Jr
6,A408,Ordway,Conroy
7,A410,Newton,Boykin
8,A412a,Nelson,Blomberg
