rank,room,p,d
1,17 6,Michelle,Helen
2,17 4,Martha,Louisa
3,18 15,Edith,Lucretia
4,19 10,Rosalynn,Barbara
5,19 9,Eleanor,Ellen
6,17 5,Nancy,Hannah
7,18 14,Margaret,Anna
