rank,room,p,d
1,15 D,Ida,Abigail
2,15 F,Mary Todd,Pat
3,17 1,Julia,Florence
4,17 3,Dolley,Grace
5,15 E,Lady Bird,Bess
6,17 2,Elizabeth,Laura
7,15 G,Mamie,Jackie
