rank,room,p,d
1,A301,Thompson,Lee
2,A302,Rowland,Kelley
3,A303,Riggs,Hill
4,A304,Reed,Helms
5,A305,Moretz,Berry
6,A310,McCollum,Bentz
7,A311,McClain,Benjamin
8,A313,Massey,Beckham
