rank,room,p,d
1,A412a,Tucker,Conroy
2,A410,Baldwin,Nelson
3,A404,Newton,Blomberg
4,A408,Austin,King Jr
5,A406,Acres,Seacrest
6,A402,Boykin,Mitchell
7,A401,Ordway,Pardue
8,A315,West,Pearman
