rank,room,p,d
1,A408,Nelson,Blomberg
2,A410,Seacrest,Tucker
3,A315,Conroy,Acres
4,A412a,Baldwin,Mitchell
5,A402,Newton,Pardue
6,A404,West,King Jr
7,A401,Austin,Pearman
8,A406,Ordway,Boykin
